from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total
2018-01-01,2018-01-31,А,30425,А,87620.47000000,2207131.95162600,2294752.42162600,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
2018-01-01,2018-01-31,А,30204,А,5541.83000000,0E-8,5541.83000000,149647.04000000,0E-8,149647.04000000,0E-8,0E-8,0E-8,,0E-8,0E-8
2018-01-01,2018-01-31,А,30126,П,67224.06000000,0E-8,67224.06000000,,0E-8,0E-8,,0E-8,0E-8,67224.06000000,0E-8,67224.06000000
2018-01-01,2018-01-31,А,30413,А,2916835.42000000,0E-8,2916835.42000000,2098780.35000000,0E-8,2098780.35000000,2382487.14000000,0E-8,2382487.14000000,,0E-8,0E-8
2018-01-01,2018-01-31,А,30223,П,814660.67000000,0E-8,814660.67000000,6349676.77000000,0E-8,6349676.77000000,15781776.55000000,0E-8,15781776.55000000,161160356.93000000,0E-8,161160356.93000000
2018-01-01,2018-01-31,А,30111,П,2058498154.94000000,0E-8,2058498154.94000000,262884223.88999997,0E-8,262884223.88999997,172294943.55999999,0E-8,172294943.55999999,566178464.42000034,0E-8,566178464.42000034
2018-01-01,2018-01-31,А,30221,А,69885.07000000,21447412.80254200,21517297.87254200,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
2018-01-01,2018-01-31,А,30102,А,3401354052.04000000,0E-8,3401354052.04000000,625440427.12000000,0E-8,625440427.12000000,787848410.29999950,0E-8,787848410.29999950,,0E-8,0E-8
2018-01-01,2018-01-31,А,30109,П,63891.96000000,0E-8,63891.96000000,,0E-8,0E-8,,0E-8,0E-8,63891.96000000,0E-8,63891.96000000
2018-01-01,2018-01-31,А,30232,П,86904.66000000,4517213.06846400,4604117.72846400,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,86904.66000000,4517213.06846400,4604117.72846400
2018-01-01,2018-01-31,А,30110,А,7781670.41000000,15170860.89437800,22952531.30437800,373332.34000000,0E-8,373332.34000000,1083668.65000000,0E-8,1083668.65000000,0E-8,0E-8,0E-8
2018-01-01,2018-01-31,А,30220,П,0E-8,19371746155.46127584,19371746155.46127584,0E-8,251131748.61893800,251131748.61893800,0E-8,162558540.25700800,162558540.25700800,0E-8,18335979020.83750784,18335979020.83750784
2018-01-01,2018-01-31,А,30222,П,215769.47000000,43368305.32796000,43584074.79796000,0E-8,5595511.51749600,5595511.51749600,0E-8,0E-8,0E-8,215769.47000000,37772793.81046400,37988563.28046400
2018-01-01,2018-01-31,А,30202,А,129554.00000000,0E-8,129554.00000000,0E-8,0E-8,0E-8,93819.58000000,0E-8,93819.58000000,,0E-8,0E-8
2018-01-01,2018-01-31,А,30424,А,127251834.75000000,0E-8,127251834.75000000,4414156.66000000,0E-8,4414156.66000000,9299232.48000000,0E-8,9299232.48000000,,0E-8,0E-8
2018-01-01,2018-01-31,А,30114,А,0E-8,24470376569.71520636,24470376569.71520636,0E-8,1464972651.18680107,1464972651.18680107,0E-8,2199251369.68591323,2199251369.68591323,0E-8,,0E-8
2018-01-01,2018-01-31,А,30233,А,58966.57000000,5801448.04154400,5860414.61154400,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
2018-01-01,2018-01-31,А,30236,П,39070.65000000,64903749.27373500,64942819.92373500,0E-8,134845152.11511300,134845152.11511300,0E-8,249074167.07623700,249074167.07623700,39070.65000000,1772922439.92182900,1772961510.57182900
